Parada origen;Parada destino;Total (min);En autobús (min);A pie (min);Esperas (min);Veh. usados;Uso de línea ortogonal?;Uso de V+H?;Espera por vehículo;Lineas
90;1379;57,25147705954732;33,47880761528889;11,65628464000294;12,116384804255489;3;1;0;4,03879493475183;['63', '157', 'H8']
2667;3325;56,95255231610147;43,269298639111106;7,948140200001085;5,7351134769892775;2;1;0;2,8675567384946388;['78', 'H4']
1780;1541;68,17572654882031;51,806547964711115;7,269622359999001;9,09955622411019;4;1;0;2,2748890560275474;['H8', 'H6', '19', 'H2']
3061;616;39,2653336165796;9,07459090453333;27,38367631999729;2,8070663920489833;1;0;0;2,8070663920489833;['27']
3386;1621;34,23884811078291;24,30060578844444;4,094810719998667;5,843431602339803;3;1;1;1,9478105341132677;['V25', 'H4', 'H2']
818;3559;32,711014780760756;10,687792095288888;19,696276600011597;2,326946085460271;1;1;0;2,326946085460271;['H6']
1354;524;23,821629139290447;15,684603401333336;1,5851835999959105;6,5518421379612;3;1;0;2,1839473793204003;['V15', '27', '7']
485;769;62,71672182947326;45,695080880088895;5,3540687199983665;11,667572229385996;3;1;0;3,8891907431286654;['59', '70', 'H4']
523;2138;40,70456714415316;16,261514314400003;21,14812700000861;3,2949258297445465;1;1;0;3,2949258297445465;['H6']
2698;997;51,70005628845648;34,929682519555556;11,43850708000145;5,331866688899476;3;1;1;1,7772888962998252;['H12', '6', 'V13']
584;3836;26,788945158174002;18,485372879466663;1,1999987999993103;7,103573478708027;2;1;0;3,5517867393540135;['V5', '23']
574;2878;53,561581212310045;43,71635849724444;6,511104600006801;3,334118115058801;2;1;1;1,6670590575294004;['H12', 'V15']
36;487;36,442134920374045;27,284960524444443;7,32591859999503;1,831255795934572;1;0;0;1,831255795934572;['6']
843;879;128,178837536376;113,95072441528887;2,3540717200000785;11,874041401087036;4;1;1;2,968510350271759;['109', 'V3', 'H6', 'D50']
1880;2324;47,87558527940032;23,706321263733336;18,277018760008616;5,892245255658368;2;1;0;2,946122627829184;['7', 'H16']
3301;408;88,00832666500291;64,73207992515555;10,314063759989022;12,962182979858333;3;1;0;4,3207276599527775;['65', 'V1', '63']
1495;3498;47,42369291151088;33,498185245866665;1,6281465199953369;12,297361145648877;3;1;1;4,099120381882959;['H10', '34', 'V31']
1141;933;33,13894970530755;19,435391258577777;5,423698279998228;8,279860166731549;2;1;1;4,139930083365774;['V21', 'H6']
1511;9805;60,856861292081376;49,99773467404444;4,598513920006566;6,260612698030371;2;1;1;3,1303063490151857;['V29', 'H6']
179;3000;29,28123923877456;13,126791010311111;12,939246320001343;3,215201908462106;2;1;0;1,607600954231053;['D20', '23']
1517;1669;89,1704568829316;75,80863070702222;2,770367600006965;10,591458575902434;3;1;0;3,530486191967478;['D50', 'H10', '109']
1788;1380;55,29180135680229;30,615769866311105;17,244427199996522;7,431604290494661;2;1;0;3,7158021452473307;['V15', '7']
888;604;39,89137688238121;28,124890115377774;2,668145479995308;9,098341287008125;3;1;1;3,0327804290027083;['H12', '6', 'V19']
3062;504;62,88314325191597;30,947520654933335;30,314043759999638;1,6215788369829998;1;1;0;1,6215788369829998;['D50']
1859;835;52,40816274177876;23,411911224177782;19,999980000006023;8,996271517594959;2;1;0;4,4981357587974795;['V21', '6']
203;3834;61,278642481966344;42,06292252577777;7,974806840004157;11,240913116184416;2;1;0;5,620456558092208;['63', 'H6']
1164;2709;62,27728016235608;39,44735001555556;5,016291280003777;17,813638866796747;3;1;0;5,937879622265583;['D20', '65', 'V1']
506;1376;58,36423646721799;45,50776360782222;4,902217320010207;7,954255539385562;3;1;0;2,6514185131285206;['H12', '6', '7']
2903;997;54,186508485173015;35,39476841297777;13,608875280001525;5,182864792193718;2;1;0;2,591432396096859;['33', 'V13']
3324;378;9,093324240005888;0;9,093324240005888;0;0;0;0;0;[]
138;1540;38,18251878391504;17,362153095200004;18,194055880007546;2,626309808707493;1;1;0;2,626309808707493;['V11']
569;2418;14,1407266000002;0;14,1407266000002;0;0;0;0;0;[]
916;3769;102,41281194202297;78,88264626373332;7,736288559999089;15,79387711829055;4;1;1;3,9484692795726377;['65', 'H12', 'V25', '62']
383;1135;32,37311241942841;21,724634491022222;3,125922800002055;7,522555128404132;2;1;0;3,761277564202066;['H12', '6']
162;2564;69,21178950802681;32,70404753048889;31,570338800000904;4,937403177537014;3;1;1;1,6458010591790047;['34', 'V19', 'H12']
972;1695;10,09142263897471;4,250535016977777;0;5,840887621996933;1;1;0;5,840887621996933;['V25']
3328;629;34,82008551780913;22,603637135022225;3,4029595599907796;8,813488822796126;3;1;0;2,9378296075987085;['55', '59', 'V7']
1078;1407;37,228791373828194;24,07829768542222;7,38814075999715;5,762352928408825;2;0;0;2,8811764642044126;['22', '19']
803;1848;70,16338530263495;47,97185009831111;13,594060480002089;8,597474724321755;2;1;0;4,298737362160877;['D50', 'H10']
147;1779;44,67677259896453;33,44246109253333;5,408883479998132;5,825428026433071;3;1;0;1,9418093421443572;['33', 'V15', '27']
1218;1517;38,97087052108427;29,064734029155552;3,2266634400010066;6,6794730519277135;3;1;1;2,226491017309238;['V19', 'H6', 'D50']
1792;704;43,4269679736551;31,12889406968889;4,296291999993931;8,00178190397228;2;1;1;4,00089095198614;['V27', 'H4']
2269;1737;88,33013500767123;78,05965668915557;0;10,27047831851566;3;1;0;3,4234927728385536;['27', 'H2', '78']
119;3505;45,40873142385912;30,58132389155555;9,925915999995949;4,901491532307622;1;1;0;4,901491532307622;['H6']
2821;1310;43,72182791836181;36,83933063102222;0;6,882497287339597;2;0;0;3,4412486436697987;['21', '165']
3002;2394;93,20816027050944;67,39359885111111;12,013321320006785;13,801240099391556;3;1;1;4,600413366463852;['150', 'H12', 'V33']
1723;3313;86,62240800365407;72,17849706702222;11,165914760005457;3,2779961766263925;2;1;0;1,6389980883131963;['63', 'H6']
1531;2326;56,29222377436092;27,203047431555554;21,807385599997467;7,281790742807898;1;1;0;7,281790742807898;['V11']
1961;614;19,39847137615571;7,075053368177776;9,740731000003613;2,5826870079743225;1;1;0;2,5826870079743225;['H4']
820;3568;45,835728118578864;32,817416517244446;9,970360399996238;3,04795120133818;2;1;0;1,52397560066909;['47', 'H12']
2310;2321;82,04897187368022;49,33054862808888;18,542203680003574;14,176219565587761;3;1;1;4,725406521862587;['H14', 'V23', '62']
466;1669;65,7998999910285;53,76957679164445;0;12,03032319938405;2;1;0;6,015161599692025;['H12', '109']
1616;3767;40,64574082501739;24,271723965511114;12,940727800004186;3,4332890595020906;2;1;0;1,7166445297510453;['47', 'H10']
455;1829;77,58225525062693;68,36181742666666;0;9,22043782396027;2;1;0;4,610218911980135;['H8', '157']
744;858;48,01188282807443;37,07665983182222;7,091844759993895;3,8433782362583133;1;1;0;3,8433782362583133;['H8']
731;231;23,745106770384794;20,643112734133332;0;3,10199403625146;2;1;0;1,55099701812573;['H4', '182']
1230;1024;51,28277610511354;19,625177929244444;25,57182628000851;6,085771895860589;1;1;0;6,085771895860589;['H12']
348;1476;35,19036698903549;26,91691566977778;2,1940718799875962;6,079379439270115;2;1;0;3,0396897196350574;['150', 'D20']
1982;1938;25,9742193670331;12,358348252533332;8,625176559999002;4,9906945545007675;1;1;0;4,9906945545007675;['V9']
3314;3318;45,85940710650118;23,512196085599992;15,450354920001676;6,896856100899511;2;0;0;3,4484280504497553;['6', '7']
1611;3428;103,54821164117992;68,56185823128888;11,60443284000688;23,38192056988416;5;1;1;4,676384113976832;['46', 'V3', 'H8', '157', '78']
2288;3706;41,989888073553196;27,928375917422223;6,570363799999945;7,491148356131026;3;1;1;2,4970494520436755;['70', 'V3', 'H12']
2559;1393;42,34608254116691;23,44389586053334;16,583687119997585;2,3184995606359857;1;1;0;2,3184995606359857;['V11']
183;454;59,28550418624052;48,66654382026667;4,831106279996979;5,787854085976875;2;1;1;2,8939270429884374;['H12', 'V29']
482;1914;29,785336139000506;17,26993852124444;9,448879439996375;3,0665181777596904;1;1;0;3,0665181777596904;['V3']
864;592;32,907618097059256;16,291566638311107;9,831101279996508;6,78495017875164;1;0;0;6,78495017875164;['67']
3616;2368;47,32833946612541;40,82587172622222;3,2622189599987395;3,240248779904454;2;1;0;1,620124389952227;['6', 'H8']
763;3545;3,128885760005761;0;3,128885760005761;0;0;0;0;0;[]
3712;307;59,511645387759586;43,971575472800005;5,081476400014207;10,45859351494537;2;1;0;5,229296757472685;['H12', '47']
743;2151;79,66148917066498;54,33469746195555;2,019257240005927;23,307534468703498;2;1;0;11,653767234351749;['96', 'V29']
822;2288;11,917551958368158;5,318775492888889;5,277031760000754;1,321744705478514;1;1;0;1,321744705478514;['V9']
393;1258;19,05304390364806;12,666509951555554;4,801476679992836;1,585057272099669;1;1;0;1,585057272099669;['H16']
1214;2620;47,49006407728929;27,302986159199992;15,924428519997546;4,26264939809175;2;1;0;2,131324699045875;['H6', '96']
208;481;20,3836131697531;8,262930120711113;10,837026199988427;1,283656849053561;1;0;0;1,283656849053561;['63']
151;3528;62,556250783944215;54,67142681964445;0;7,884823964299762;2;1;0;3,942411982149881;['68', 'V5']
2;957;23,311297791211143;12,142209358133336;4,68443976000674;6,484648673071067;2;1;0;3,2423243365355336;['V27', '47']
931;147;19,497037920304354;9,970635391111111;4,662217559987189;4,864184969206054;2;1;0;2,432092484603027;['V13', '6']
877;510;24,892079276076835;14,40285887928889;6,081475400002012;4,407744996785931;1;0;0;4,407744996785931;['96']
3157;1563;129,91344530124755;87,81866283244445;17,583686119995924;24,51109634880718;3;1;1;8,170365449602393;['96', 'V27', 'H12']
3102;3224;22,417049454331185;13,183002495644445;4,531847319997254;4,7021996386894855;1;1;0;4,7021996386894855;['H6']
365;133;44,38222152209622;32,07370100257778;9,331842520008959;2,9766779995094854;2;1;1;1,4883389997547427;['V23', 'H4']
3551;2372;104,42980196907882;87,99986575937777;10,463693239992166;5,966242969708885;2;1;0;2,9831214848544425;['H12', '65']
409;9390;24,319179978021925;12,443690785866664;5,764438680010988;6,111050512144272;2;1;0;3,055525256072136;['34', 'V25']
1745;917;55,57338694229496;39,133604710133326;10,712581879999322;5,727200352162315;2;1;0;2,8636001760811576;['V3', '46']
3389;1495;20,974456510945732;15,210182308444445;3,047404359995028;2,7168698425062585;1;0;0;2,7168698425062585;['54']
1491;2321;59,49378148629978;43,883045471644444;3,114070959994478;12,496665054660863;3;1;1;4,165555018220288;['H10', '34', 'V31']
3310;3351;38,22213247675329;18,159036805333333;12,847394560002321;7,215701111417634;2;1;1;3,607850555708817;['V31', 'H10']
436;357;73,691909988842;49,81543575973332;7,576288720005024;16,300185509103656;3;1;0;5,433395169701218;['H2', '63', '67']
1181;529;46,26361117820597;39,545045584977785;3,305181880001456;3,4133837132267297;2;1;0;1,7066918566133649;['33', 'V13']
532;2836;40,45348735096159;20,865214804088893;16,719983280007426;2,868289266865271;2;1;0;1,4341446334326355;['V7', '46']
1706;226;67,45249307090164;46,20327209973334;10,580730160005235;10,668490811163064;2;0;0;5,334245405581532;['62', '7']
1209;3167;26,4901766705226;13,499485954133334;4,614810199984508;8,37588051640476;2;1;0;4,18794025820238;['54', 'H10']
316;441;46,892894659285815;25,29545959964445;13,265171919987694;8,332263139653673;2;1;0;4,166131569826836;['V13', 'D40']
98;2375;90,92709741822853;63,97885068604444;10,484433959997698;16,463812772186387;2;1;0;8,231906386093193;['H12', '65']
793;3536;46,49907959070881;36,625563463911114;2,2859236400010943;7,587592486796604;2;1;1;3,793796243398302;['V21', 'H16']
3168;1419;71,331306230358;61,63653148399999;2,697775079995508;6,996999666362498;2;0;0;3,498499833181249;['27', '60']
130;2901;31,18914201418307;18,132932399733335;3,962959000006553;9,093250614443182;1;1;0;9,093250614443182;['H14']
3632;3649;60,9000953773313;48,12441210026666;6,376289919990587;6,399393357074053;3;1;1;2,1331311190246844;['V25', '47', 'H8']
1712;1005;71,03482686114393;60,251492939377776;4,241477240007988;6,541856681758159;3;1;0;2,1806188939193865;['V31', '34', 'D50']
1101;3586;87,30959155338059;57,77760460631111;12,109617520003809;17,42236942706567;3;1;1;5,807456475688557;['V33', 'H8', 'H6']
1453;3565;42,20557348788661;12,41016312675556;21,0073863999942;8,788023961136851;2;1;0;4,3940119805684255;['60', 'H12']
2372;2287;89,59598055671482;64,01817036862222;13,38961623999587;12,188193948096725;3;1;1;4,062731316032242;['65', 'V3', 'H6']
1569;485;27,731726704375948;10,923310512355556;13,917023119995251;2,8913930720251395;2;1;1;1,4456965360125698;['H12', 'V3']
550;1034;19,88297413138069;12,282175263733333;2,115553440000962;5,485245427646394;1;0;0;5,485245427646394;['78']
1095;471;22,314125218576233;15,756359946488889;2,454812360001674;4,102952912085669;1;1;0;4,102952912085669;['D50']
1976;1044;53,13608354447546;38,119910455288895;7,303696399997843;7,712476689188724;1;0;0;7,712476689188724;['65']
3637;406;28,25341370243452;20,24888753724445;6,032586559999125;1,9719396051909461;1;1;0;1,9719396051909461;['D40']
321;3559;28,682472483284325;14,694239391200002;10,01036035999854;3,9778727320857836;1;0;0;3,9778727320857836;['47']
24;3186;48,979058750106695;39,00633524542222;8,250362119983453;1,722361384701021;1;0;0;1,722361384701021;['27']
8134;607;40,21044278797804;30,870035706577784;1,4414800399896393;7,898927041410616;2;1;0;3,949463520705308;['62', 'H4']
822;1378;13,2893834919876;7,596438726311111;3,034071039999087;2,658873725677401;2;1;0;1,3294368628387006;['63', 'V5']
117;195;90,66979900834431;68,96823666737777;6,484437960011633;15,21712438095491;2;1;0;7,608562190477455;['96', 'H2']
2541;1741;54,1859128691943;35,23506218666667;15,050355320006949;3,900495362520683;2;1;0;1,9502476812603415;['V1', '109']
1592;2758;12,982209239995507;0;12,982209239995507;0;0;0;0;0;[]
2605;871;52,88353052242752;34,06423656115555;9,051842800008643;9,767451161263324;2;0;0;4,883725580631662;['183', '62']
1397;257;47,785986948221925;32,15020150097778;10,979248279995803;4,656537167248346;2;1;0;2,328268583624173;['V15', '59']
2758;1366;42,47791650100135;34,198602548;2,7644416800048206;5,5148722729965325;1;1;0;5,5148722729965325;['D50']
1747;1492;48,656448758158035;40,252310995377776;2,145183040001818;6,2589547227784434;2;0;0;3,1294773613892217;['63', '33']
1542;2315;63,905813550278765;34,05771192106666;18,86368484000115;10,984416789210954;3;1;0;3,661472263070318;['27', 'V15', 'D50']
2368;3545;27,622962948159987;6,848142702222222;15,608873279997518;5,165946965940248;1;1;0;5,165946965940248;['V5']
2268;2592;36,18902779417859;15,422754670755555;11,823691880002656;8,942581243420381;1;1;0;8,942581243420381;['V31']
180;3575;11,14949923027276;2,005431067022222;8,01925123999918;1,1248169232513574;1;0;0;1,1248169232513574;['150']
3628;1059;44,770099212204116;31,917327581333335;6,564437879983988;6,288333750886796;1;1;0;6,288333750886796;['H16']
2187;2740;68,68476471312925;46,34524295226666;12,799987200004248;9,53953456085834;3;1;0;3,179844853619447;['H12', 'X1', '7']
1004;2622;61,97370652926348;47,0588749224;3,5170335200133005;11,397798086850184;2;1;1;5,698899043425092;['H14', 'V21']
1262;110;19,533840484500093;11,718532908266665;6,573326759999708;1,241980816233719;1;0;0;1,241980816233719;['27']
113;3674;69,29063372919076;44,49732175351111;18,434055640003585;6,359256335676061;2;1;0;3,1796281678380307;['97', 'H4']
16;3364;113,60311564829028;79,46715158915556;19,08590684000721;15,050057219127511;3;0;0;5,01668573970917;['27', '165', '21']
1488;2810;65,13087129603693;27,042490440444446;33,665151520015414;4,423229335577075;2;1;0;2,2116146677885373;['59', 'H12']
1364;342;48,037479779598215;38,88350478586666;2,653330680013635;6,500644313717915;2;1;0;3,2503221568589575;['D20', 'H16']
1323;3369;58,24418968200902;43,132187960088885;4,1999957999949515;10,912005921925186;2;1;1;5,456002960962593;['V3', 'H8']
3300;1476;70,69187062692679;55,78540686417777;4,333328999996475;10,573134762752538;2;1;0;5,286567381376269;['65', 'D20']
3312;1879;22,983796838886136;9,427970815555556;7,1229558400015325;6,432870183329047;1;1;0;6,432870183329047;['V25']
1726;3626;63,32802004719836;45,58905199048889;9,75406431999232;7,9849037367171505;3;1;0;2,661634578905717;['67', '33', 'V23']
536;1274;103,60678774921502;66,0168779464;28,719971280000504;8,869938522814513;3;1;0;2,9566461742715044;['68', 'V1', '7']
12;2668;34,920054215867964;23,29918998782222;9,637027399996356;1,983836828049387;1;1;0;1,983836828049387;['H8']
700;1298;27,76228756522563;15,558735826311107;3,5140705599971014;8,68948117891742;2;1;1;4,34474058945871;['H16', 'V21']
2776;3681;53,25831832858617;34,06117395973333;12,607394800001668;6,589749568851174;2;1;1;3,294874784425587;['V19', 'H10']
1079;647;51,003131576045774;39,22904067555555;5,340735400008343;6,433355500481883;2;1;0;3,2166777502409416;['H16', '46']
